time,open,high,low,close,volume,spread
2023.08.01 01:00:00,15785.05,15788.3,15769.17,15771.8,1210,140
2023.08.01 02:00:00,15772.3,15773.3,15763.17,15771.05,1043,140
2023.08.01 03:00:00,15771.05,15785.67,15766.17,15785.42,2192,140
2023.08.01 04:00:00,15785.55,15800.05,15780.17,15792.8,2894,140
2023.08.01 05:00:00,15793.8,15794.92,15780.05,15781.42,2270,140
2023.08.01 06:00:00,15781.42,15784.55,15773.92,15777.67,1527,140
2023.08.01 07:00:00,15777.67,15785.17,15776.3,15779.92,1433,140
2023.08.01 08:00:00,15779.8,15781.42,15767.55,15770.42,1656,140
2023.08.01 09:00:00,15769.67,15770.17,15754.17,15756.42,1789,140
2023.08.01 10:00:00,15756.42,15759.67,15727.8,15738.17,3431,140
2023.08.01 11:00:00,15738.17,15743.05,15705.42,15723.3,4000,140
2023.08.01 12:00:00,15723.3,15725.3,15696.92,15718.17,3428,140
2023.08.01 13:00:00,15718.55,15737.42,15715.67,15734.55,2837,140
2023.08.01 14:00:00,15734.42,15739.8,15677.92,15680.67,3617,140
2023.08.01 15:00:00,15679.8,15696.8,15667.3,15684.17,4411,140
2023.08.01 16:00:00,15683.8,15718.42,15676.67,15692.32,7040,140
2023.08.01 17:00:00,15690.82,15746.8,15639.92,15726.67,8669,140
2023.08.01 18:00:00,15728.67,15740.17,15706.42,15732.3,7259,140
2023.08.01 19:00:00,15732.42,15739.55,15689.67,15737.17,6380,140
2023.08.01 20:00:00,15737.17,15754.67,15706.17,15739.17,6105,140
2023.08.01 21:00:00,15739.17,15757.17,15732.92,15744.17,5890,140
2023.08.01 22:00:00,15744.17,15760.05,15725.05,15728.05,6435,140
2023.08.01 23:00:00,15727.05,15737.17,15711.8,15719.47,3193,140
2023.08.02 01:00:00,15605.27,15670.5,15597.77,15670,3123,140
2023.08.02 02:00:00,15670.02,15673.5,15652.25,15666.25,1851,140
2023.08.02 03:00:00,15667,15686.12,15644.37,15679.62,2921,140
2023.08.02 04:00:00,15679.87,15702.75,15679,15687.62,2834,140
2023.08.02 05:00:00,15689.12,15689.12,15639.62,15641.75,3260,140
2023.08.02 06:00:00,15642.12,15649.25,15630.12,15640.37,2450,140
2023.08.02 07:00:00,15640.75,15643.12,15624.62,15630.87,1922,140
2023.08.02 08:00:00,15630.87,15644.12,15619.75,15626.37,2833,140
2023.08.02 09:00:00,15626.5,15630.77,15585.62,15590.62,3449,140
2023.08.02 10:00:00,15591.12,15602.87,15538.75,15538.75,5361,140
2023.08.02 11:00:00,15538.75,15549.75,15505.37,15548.12,5331,140
2023.08.02 12:00:00,15548.12,15567.62,15531.75,15555.25,4365,140
2023.08.02 13:00:00,15554.75,15606.25,15552.87,15605.87,4079,140
2023.08.02 14:00:00,15605.5,15632.87,15603.37,15612,4362,140
2023.08.02 15:00:00,15612.25,15625.12,15574.12,15593.37,5491,140
2023.08.02 16:00:00,15592.87,15592.87,15495.5,15515.12,7462,140
2023.08.02 17:00:00,15514.62,15522.37,15399.12,15404.12,8710,140
2023.08.02 18:00:00,15404.37,15436.25,15361.25,15361.87,8200,140
2023.08.02 19:00:00,15361,15397.5,15327.5,15393.12,7912,140
2023.08.02 20:00:00,15392.75,15422.25,15373.62,15382.37,7394,140
2023.08.02 21:00:00,15382.62,15427.87,15380.12,15405.12,7016,140
2023.08.02 22:00:00,15405.12,15420.12,15345.87,15384.25,7604,140
2023.08.02 23:00:00,15382.37,15393.12,15359.62,15364.42,3616,140
2023.08.03 01:00:00,15373.73,15405.58,15373.23,15405.58,1910,140
2023.08.03 02:00:00,15405.58,15414.08,15399.83,15407.96,1806,140
2023.08.03 03:00:00,15407.71,15415.58,15380.46,15406.21,3358,140
2023.08.03 04:00:00,15406.08,15423.08,15397.08,15405.96,2977,140
2023.08.03 05:00:00,15405.71,15408.58,15374.21,15384.33,2915,140
2023.08.03 06:00:00,15384.21,15395.71,15376.46,15393.58,2021,140
2023.08.03 07:00:00,15393.58,15397.08,15365.46,15368.46,2136,140
2023.08.03 08:00:00,15368.46,15392.46,15354.83,15376.46,3182,140
2023.08.03 09:00:00,15377.08,15384.46,15317.96,15318.98,3631,140
2023.08.03 10:00:00,15318.58,15325.71,15255.46,15262.21,6405,140
2023.08.03 11:00:00,15261.73,15318.21,15261.73,15307.96,5644,140
2023.08.03 12:00:00,15307.96,15342.33,15307.46,15332.71,4748,140
2023.08.03 13:00:00,15332.73,15354.08,15321.21,15327.96,3899,140
2023.08.03 14:00:00,15328.08,15361.08,15310.96,15319.46,5107,140
2023.08.03 15:00:00,15319.48,15325.08,15278.96,15294.58,6065,140
2023.08.03 16:00:00,15294.83,15373.33,15266.83,15351.98,7868,140
2023.08.03 17:00:00,15351.48,15382.33,15269.33,15341.33,8875,140
2023.08.03 18:00:00,15341.08,15401.33,15332.33,15368.58,7982,140
2023.08.03 19:00:00,15369.33,15439.46,15358.33,15424.08,6914,140
2023.08.03 20:00:00,15424.33,15431.08,15365.58,15368.33,6772,140
2023.08.03 21:00:00,15368.33,15396.58,15355.33,15390.83,6996,140
2023.08.03 22:00:00,15391.08,15392.58,15331.33,15349.71,7337,140
2023.08.03 23:00:00,15348.21,15465.98,15329.96,15363.38,5723,140
2023.08.04 01:00:00,15358.53,15401.88,15358.26,15395.01,2293,140
2023.08.04 02:00:00,15395.26,15416.01,15381.76,15399.13,2227,140
2023.08.04 03:00:00,15398.63,15426.51,15384.38,15426.01,3221,140
2023.08.04 04:00:00,15426.13,15453.26,15416.88,15434.26,3418,140
2023.08.04 05:00:00,15434.13,15449.38,15416.26,15428.76,3044,140
2023.08.04 06:00:00,15428.01,15444.13,15427.13,15430.76,2147,140
2023.08.04 07:00:00,15431.01,15440.63,15430.01,15433.76,1375,140
2023.08.04 08:00:00,15433.76,15477.76,15426.51,15470.51,2419,140
2023.08.04 09:00:00,15470.51,15473.76,15448.88,15451.01,2792,140
2023.08.04 10:00:00,15451.76,15451.76,15404.01,15445.51,4625,140
2023.08.04 11:00:00,15445.76,15475.76,15429.01,15437.51,3942,140
2023.08.04 12:00:00,15437.51,15463.13,15436.13,15442.63,3326,140
2023.08.04 13:00:00,15442.51,15442.51,15399.01,15406.88,3293,140
2023.08.04 14:00:00,15407.38,15408.88,15350.01,15371.26,4536,140
2023.08.04 15:00:00,15371.26,15454.13,15320.01,15431.38,6582,140
2023.08.04 16:00:00,15431.26,15499.76,15358.26,15367.38,8414,140
2023.08.04 17:00:00,15366.63,15445.88,15310.63,15436.88,8872,140
2023.08.04 18:00:00,15436.38,15498.76,15430.38,15487.88,7909,140
2023.08.04 19:00:00,15488.01,15527.51,15466.13,15512.63,7048,140
2023.08.04 20:00:00,15513.13,15515.63,15435.38,15443.38,6985,140
2023.08.04 21:00:00,15442.88,15442.88,15277.01,15291.13,8290,140
2023.08.04 22:00:00,15291.63,15326.38,15255.76,15275.26,7952,140
2023.08.04 23:00:00,15275.26,15294.88,15275.26,15280.43,3000,140
