time,open,high,low,close,volume,spread
2022.01.03 01:00:00,16388.6,16401.47,16372.1,16386.22,2209,73
2022.01.03 02:00:00,16386.97,16422.72,16386.6,16418.6,2045,101
2022.01.03 03:00:00,16418.47,16428.97,16402.35,16405.22,2560,116
2022.01.03 04:00:00,16405.1,16418.6,16395.72,16418.47,2188,101
2022.01.03 05:00:00,16418.47,16420.22,16402.72,16409.1,1570,51
2022.01.03 06:00:00,16409.35,16412.35,16404.97,16412.35,1024,114
2022.01.03 07:00:00,16412.35,16415.6,16404.47,16410.97,1279,116
2022.01.03 08:00:00,16410.47,16414.22,16386.72,16400.32,1722,96
2022.01.03 09:00:00,16399.57,16405.45,16385.7,16402.45,1859,88
2022.01.03 10:00:00,16400.82,16411.57,16388.57,16390.57,2621,96
2022.01.03 11:00:00,16392.82,16414.82,16391.57,16413.95,2318,91
2022.01.03 12:00:00,16414.07,16431.07,16411.57,16429.07,1753,79
2022.01.03 13:00:00,16429.2,16454.57,16428.82,16450.2,2065,96
2022.01.03 14:00:00,16449.7,16449.95,16430.2,16433.45,2196,96
2022.01.03 15:00:00,16432.82,16445.2,16386.45,16388.95,2759,54
2022.01.03 16:00:00,16389.57,16486.17,16294.92,16318.17,4077,66
2022.01.03 17:00:00,16319.05,16443.17,16308.92,16438.8,4451,30
2022.01.03 18:00:00,16438.92,16444.42,16376.67,16393.67,4275,30
2022.01.03 19:00:00,16393.67,16432.3,16376.42,16422.17,3863,30
2022.01.03 20:00:00,16422.42,16468.3,16406.17,16461.17,3666,30
2022.01.03 21:00:00,16461.92,16500.17,16452.42,16475.92,3638,30
2022.01.03 22:00:00,16476.42,16498.05,16453.42,16490.47,3936,30
2022.01.03 23:00:00,16491.6,16509.72,16483.97,16496.1,1934,113
2022.01.04 01:00:00,16503.42,16508.42,16480.3,16483.42,1854,88
2022.01.04 02:00:00,16484.42,16495.42,16476.92,16492.3,2299,101
2022.01.04 03:00:00,16491.92,16495.3,16483.92,16486.05,2516,113
2022.01.04 04:00:00,16486.05,16503.67,16484.3,16502.8,2120,114
2022.01.04 05:00:00,16502.8,16506.17,16495.3,16502.67,1645,113
2022.01.04 06:00:00,16502.55,16526.67,16499.3,16522.92,1657,76
2022.01.04 07:00:00,16523.17,16537.67,16521.8,16533.8,2114,113
2022.01.04 08:00:00,16534.42,16541.05,16526.8,16531.4,1658,96
2022.01.04 09:00:00,16530.9,16540.77,16520.52,16540.77,1972,79
2022.01.04 10:00:00,16539.65,16539.77,16484.9,16488.9,3119,79
2022.01.04 11:00:00,16488.9,16519.65,16486.02,16519.02,2420,91
2022.01.04 12:00:00,16518.77,16548.77,16518.77,16545.27,2546,96
2022.01.04 13:00:00,16544.9,16563.65,16536.77,16537.9,2425,66
2022.01.04 14:00:00,16537.9,16541.15,16492.4,16515.15,2849,30
2022.01.04 15:00:00,16515.27,16532.02,16504.15,16522.77,3121,38
2022.01.04 16:00:00,16523.52,16526.27,16443.87,16458.37,3817,30
2022.01.04 17:00:00,16460.87,16463,16225.12,16225.62,4576,30
2022.01.04 18:00:00,16226.25,16250,16163.12,16205.62,4538,30
2022.01.04 19:00:00,16205.37,16231.12,16174.62,16181.5,4164,30
2022.01.04 20:00:00,16181.62,16220.12,16140.87,16144.62,4136,30
2022.01.04 21:00:00,16142.12,16228.25,16142.12,16223.62,4070,30
2022.01.04 22:00:00,16224.12,16322.87,16223.12,16275.25,4179,30
2022.01.04 23:00:00,16272.62,16272.75,16251.42,16259.55,2156,30
2022.01.05 01:00:00,16263.83,16266.7,16228.08,16232.2,2143,88
2022.01.05 02:00:00,16232.7,16238.83,16222.45,16231.58,2407,114
2022.01.05 03:00:00,16231.45,16253.83,16197.58,16204.7,2878,84
2022.01.05 04:00:00,16205.83,16220.45,16202.95,16218.2,2458,101
2022.01.05 05:00:00,16220.45,16220.83,16208.33,16215.08,2010,89
2022.01.05 06:00:00,16215.2,16216.95,16199.58,16204.83,1397,101
