<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.17	1.08382	1.08505	1.08287	1.08318	16376	0	0
2020.02.18	1.08333	1.08371	1.07850	1.07901	28518	0	1
2020.02.19	1.07894	1.08111	1.07817	1.08062	26404	0	0
2020.02.20	1.08019	1.08206	1.07773	1.07827	33304	0	0
2020.02.21	1.07825	1.08630	1.07824	1.08474	33121	0	0
2020.02.24	1.08240	1.08715	1.08046	1.08529	43160	0	1
2020.02.25	1.08508	1.08901	1.08297	1.08802	45050	0	2
2020.02.26	1.08793	1.09081	1.08545	1.08793	47153	0	0
2020.02.27	1.08791	1.10056	1.08741	1.09993	58328	0	0
2020.02.28	1.09974	1.10523	1.09504	1.10240	72300	0	0
2020.03.02	1.10441	1.11847	1.10356	1.11313	78232	0	0
2020.03.03	1.11321	1.12131	1.10946	1.11694	73666	0	0
2020.03.04	1.11674	1.11869	1.10949	1.11343	54124	0	0
2020.03.05	1.11321	1.12443	1.11190	1.12359	51232	0	0
2020.03.06	1.12357	1.13542	1.12111	1.12890	88393	0	0
2020.03.09	1.13453	1.14954	1.13397	1.14417	121892	0	0
2020.03.10	1.14446	1.14575	1.12743	1.12806	113655	0	0
2020.03.11	1.12744	1.13661	1.12568	1.12697	87075	0	0
2020.03.12	1.12672	1.13329	1.10548	1.11846	116220	0	0
2020.03.13	1.11821	1.12209	1.10544	1.11008	113759	0	0
2020.03.16	1.10540	1.12357	1.10540	1.11802	138230	0	0
2020.03.17	1.11783	1.11885	1.09544	1.09974	112982	0	0
2020.03.18	1.09962	1.10444	1.08011	1.09158	128672	0	0
2020.03.19	1.09052	1.09804	1.06545	1.06927	140029	0	0
2020.03.20	1.06904	1.08303	1.06373	1.06965	147595	0	0
2020.03.23	1.06999	1.08273	1.06353	1.07229	134334	0	0
2020.03.24	1.07206	1.08876	1.07190	1.07864	113052	0	0
2020.03.25	1.07851	1.08932	1.07596	1.08800	103345	0	0
2020.03.26	1.08804	1.10580	1.08697	1.10321	100677	0	0
2020.03.27	1.10286	1.11466	1.09528	1.11365	98701	0	0
2020.03.30	1.11107	1.11435	1.10095	1.10436	81879	0	0
2020.03.31	1.10391	1.10538	1.09260	1.10349	95985	0	0
2020.04.01	1.10270	1.10382	1.09021	1.09612	73674	0	0
2020.04.02	1.09594	1.09670	1.08200	1.08548	75684	0	0
2020.04.03	1.08536	1.08633	1.07720	1.08063	65151	0	0
2020.04.06	1.08072	1.08350	1.07677	1.07924	64859	0	0
2020.04.07	1.07911	1.09256	1.07829	1.08909	62250	0	0
2020.04.08	1.08897	1.09014	1.08294	1.08539	56030	0	3
2020.04.09	1.08549	1.09511	1.08405	1.09283	60415	0	3
2020.04.10	1.09273	1.09518	1.09174	1.09322	24003	0	0
2020.04.13	1.09467	1.09671	1.08921	1.09080	39327	0	1
2020.04.14	1.08939	1.09866	1.08939	1.09814	49116	0	2
