<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.07.20	1.17988	1.18020	1.17551	1.17792	106778	0	1
2021.07.21	1.17790	1.18043	1.17515	1.17926	82293	0	1
2021.07.22	1.17921	1.18300	1.17569	1.17703	114425	0	1
2021.07.23	1.17703	1.17860	1.17541	1.17711	74883	0	1
2021.07.26	1.17678	1.18169	1.17629	1.18025	82040	0	1
2021.07.27	1.18027	1.18406	1.17697	1.18167	87296	0	1
2021.07.28	1.18167	1.18491	1.17720	1.18432	119145	0	1
2021.07.29	1.18429	1.18924	1.18389	1.18865	79065	0	1
2021.07.30	1.18871	1.19082	1.18512	1.18680	86654	0	1
2021.08.02	1.18659	1.18965	1.18584	1.18673	76383	0	1
2021.08.03	1.18675	1.18929	1.18531	1.18633	71436	0	1
2021.08.04	1.18633	1.18993	1.18322	1.18358	77503	0	1
2021.08.05	1.18358	1.18568	1.18276	1.18335	74714	0	1
2021.08.06	1.18326	1.18350	1.17540	1.17601	84465	0	1
2021.08.09	1.17589	1.17685	1.17345	1.17359	68842	0	1
2021.08.10	1.17359	1.17423	1.17094	1.17197	63661	0	1
2021.08.11	1.17197	1.17533	1.17056	1.17382	83439	0	1
2021.08.12	1.17379	1.17478	1.17232	1.17293	59047	0	1
2021.08.13	1.17293	1.18042	1.17288	1.17947	59174	0	1
2021.08.16	1.17958	1.18003	1.17669	1.17771	56635	0	1
2021.08.17	1.17775	1.17843	1.17073	1.17091	80933	0	1
2021.08.18	1.17091	1.17424	1.16932	1.17093	85266	0	1
2021.08.19	1.17094	1.17161	1.16652	1.16748	98936	0	1
2021.08.20	1.16748	1.17040	1.16635	1.16995	73500	0	1
2021.08.23	1.16955	1.17499	1.16889	1.17449	63308	0	1
2021.08.24	1.17449	1.17649	1.17267	1.17528	56459	0	1
2021.08.25	1.17542	1.17741	1.17256	1.17711	65673	0	1
2021.08.26	1.17711	1.17785	1.17455	1.17513	67504	0	1
2021.08.27	1.17513	1.18019	1.17345	1.17956	95086	0	1
2021.08.30	1.17946	1.18094	1.17822	1.17961	57757	0	1
2021.08.31	1.17960	1.18446	1.17945	1.18086	96470	0	1
2021.09.01	1.18086	1.18567	1.17931	1.18390	85361	0	1
2021.09.02	1.18390	1.18756	1.18340	1.18741	67679	0	1
2021.09.03	1.18741	1.19040	1.18653	1.18783	76923	0	1
2021.09.06	1.18774	1.18858	1.18553	1.18694	42067	0	1
2021.09.07	1.18693	1.18850	1.18369	1.18386	89541	0	1
2021.09.08	1.18384	1.18508	1.18016	1.18155	89455	0	1
2021.09.09	1.18157	1.18410	1.18047	1.18241	95963	0	1
2021.09.10	1.18241	1.18506	1.18089	1.18098	78766	0	1
2021.09.13	1.18114	1.18166	1.17697	1.18104	79942	0	1
2021.09.14	1.18104	1.18453	1.17996	1.18023	94761	0	1
2021.09.15	1.18023	1.18314	1.17987	1.18163	84652	0	1
2021.09.16	1.18163	1.18201	1.17499	1.17632	86047	0	1
2021.09.17	1.17634	1.17884	1.17241	1.17249	85466	0	1
2021.09.20	1.17284	1.17359	1.16997	1.17250	81039	0	1
2021.09.21	1.17250	1.17481	1.17143	1.17240	83590	0	1
2021.09.22	1.17240	1.17553	1.16841	1.16872	75804	0	1
2021.09.23	1.16872	1.17496	1.16829	1.17381	62977	0	1
2021.09.24	1.17381	1.17471	1.17001	1.17199	44508	0	1
2021.09.27	1.17237	1.17254	1.16844	1.16953	60247	0	1
2021.09.28	1.16954	1.17028	1.16678	1.16825	74000	0	1
2021.09.29	1.16825	1.16895	1.15890	1.15970	70759	0	1
2021.09.30	1.15969	1.16094	1.15622	1.15805	66545	0	1
2021.10.01	1.15810	1.16069	1.15625	1.15923	61909	0	1
2021.10.04	1.15924	1.16398	1.15873	1.16196	47220	0	1
2021.10.05	1.16192	1.16214	1.15801	1.15972	47491	0	1
2021.10.06	1.15973	1.16054	1.15289	1.15556	59331	0	1
2021.10.07	1.15557	1.15716	1.15472	1.15508	42275	0	1
2021.10.08	1.15508	1.15856	1.15410	1.15672	49403	0	1
2021.10.11	1.15626	1.15863	1.15487	1.15505	36927	0	1
2021.10.12	1.15505	1.15698	1.15240	1.15299	42775	0	1
2021.10.13	1.15299	1.15969	1.15273	1.15917	51218	0	1
2021.10.14	1.15918	1.16240	1.15836	1.15961	38290	0	1
2021.10.15	1.15957	1.16184	1.15877	1.16008	42764	0	1
2021.10.18	1.15876	1.16219	1.15713	1.16095	44497	0	1
2021.10.19	1.16096	1.16690	1.16080	1.16326	43642	0	1
2021.10.20	1.16323	1.16583	1.16164	1.16495	44095	0	1
2021.10.21	1.16477	1.16670	1.16193	1.16225	45229	0	1
2021.10.22	1.16223	1.16552	1.16208	1.16422	50378	0	1
2021.10.25	1.16426	1.16648	1.15903	1.16062	43920	0	1
2021.10.26	1.16058	1.16254	1.15846	1.15951	40625	0	1
2021.10.27	1.15951	1.16256	1.15844	1.16024	53968	0	1
2021.10.28	1.16027	1.16917	1.15820	1.16800	69476	0	1
2021.10.29	1.16804	1.16896	1.15347	1.15585	61260	0	1
2021.11.01	1.15569	1.16086	1.15457	1.16053	45371	0	1
2021.11.02	1.16052	1.16131	1.15749	1.15786	49366	0	1
2021.11.03	1.15786	1.16159	1.15620	1.16111	62589	0	1
2021.11.04	1.16111	1.16160	1.15279	1.15532	54612	0	1
2021.11.05	1.15523	1.15728	1.15129	1.15673	62450	0	1
2021.11.08	1.15590	1.15945	1.15500	1.15865	43725	0	1
2021.11.09	1.15865	1.16085	1.15695	1.15925	52008	0	1
2021.11.10	1.15921	1.15948	1.14755	1.14783	72289	0	1
2021.11.11	1.14783	1.14872	1.14427	1.14496	45635	0	1
2021.11.12	1.14497	1.14617	1.14325	1.14465	47707	0	1
2021.11.15	1.14466	1.14635	1.13559	1.13672	50870	0	1
2021.11.16	1.13672	1.13853	1.13089	1.13197	60097	0	1
2021.11.17	1.13197	1.13318	1.12631	1.13188	62900	0	1
2021.11.18	1.13188	1.13737	1.13133	1.13686	52296	0	1
2021.11.19	1.13686	1.13723	1.12497	1.12892	72956	0	1
2021.11.22	1.12904	1.12919	1.12304	1.12358	73341	0	1
2021.11.23	1.12358	1.12746	1.12256	1.12480	71197	0	1
2021.11.24	1.12479	1.12548	1.11857	1.11974	74039	0	1
2021.11.25	1.11976	1.12292	1.11957	1.12066	34111	0	1
2021.11.26	1.12065	1.13315	1.12045	1.13173	93868	0	1
2021.11.29	1.12996	1.13119	1.12580	1.12906	61794	0	1
2021.11.30	1.12910	1.13825	1.12359	1.13359	90047	0	1
2021.12.01	1.13360	1.13591	1.13022	1.13187	76168	0	1
2021.12.02	1.13187	1.13473	1.12950	1.13006	59686	0	1
2021.12.03	1.13006	1.13329	1.12662	1.13149	74308	0	1
2021.12.06	1.13015	1.13125	1.12662	1.12847	46223	0	1
2021.12.07	1.12846	1.12980	1.12271	1.12640	51413	0	1
2021.12.08	1.12642	1.13543	1.12634	1.13419	61049	0	1
2021.12.09	1.13418	1.13471	1.12780	1.12927	44296	0	1
2021.12.10	1.12925	1.13236	1.12648	1.13127	49565	0	1
2021.12.13	1.13118	1.13189	1.12597	1.12836	38886	0	1
2021.12.14	1.12836	1.13233	1.12532	1.12582	46887	0	1
2021.12.15	1.12583	1.12987	1.12215	1.12842	62996	0	1
2021.12.16	1.12804	1.13599	1.12800	1.13296	62841	0	1
2021.12.17	1.13295	1.13485	1.12345	1.12385	49485	0	1
2021.12.20	1.12404	1.13035	1.12342	1.12790	52717	0	1
2021.12.21	1.12841	1.13022	1.12605	1.12801	46801	0	1
2021.12.22	1.12801	1.13420	1.12627	1.13259	44722	0	1
2021.12.23	1.13258	1.13418	1.12897	1.13283	40413	0	1
2021.12.24	1.13289	1.13430	1.12986	1.13171	50298	0	1
2021.12.27	1.13023	1.13342	1.13023	1.13269	28758	0	1
2021.12.28	1.13270	1.13330	1.12891	1.13094	30368	0	1
2021.12.29	1.13090	1.13686	1.12732	1.13507	41942	0	1
2021.12.30	1.13508	1.13594	1.12982	1.13204	37084	0	1
2021.12.31	1.13204	1.13859	1.13028	1.13684	39141	0	1
2022.01.03	1.13734	1.13785	1.12793	1.12958	46210	0	1
2022.01.04	1.12962	1.13220	1.12719	1.12861	54817	0	1
2022.01.05	1.12861	1.13460	1.12766	1.13123	57229	0	1
2022.01.06	1.13123	1.13314	1.12842	1.12919	60498	0	1
2022.01.07	1.12919	1.13644	1.12896	1.13592	55615	0	1
2022.01.10	1.13525	1.13608	1.12846	1.13237	54939	0	1
2022.01.11	1.13234	1.13750	1.13125	1.13647	53019	0	1
2022.01.12	1.13652	1.14523	1.13542	1.14416	57658	0	1
2022.01.13	1.14413	1.14813	1.14354	1.14543	56721	0	1
2022.01.14	1.14543	1.14823	1.13981	1.14099	63985	0	1
2022.01.17	1.14125	1.14340	1.13914	1.14085	39071	0	1
2022.01.18	1.14088	1.14210	1.13143	1.13205	72952	0	1
2022.01.19	1.13225	1.13567	1.13184	1.13417	58853	0	1
2022.01.20	1.13417	1.13685	1.13027	1.13110	60231	0	1
2022.01.21	1.13111	1.13594	1.13005	1.13417	59239	0	1
2022.01.24	1.13430	1.13445	1.12900	1.13247	66164	0	1
2022.01.25	1.13245	1.13287	1.12628	1.13010	55761	0	1
2022.01.26	1.13012	1.13103	1.12350	1.12384	71507	0	1
2022.01.27	1.12382	1.12429	1.11313	1.11450	75604	0	1
2022.01.28	1.11462	1.11732	1.11209	1.11475	68738	0	1
2022.01.31	1.11425	1.12473	1.11379	1.12340	68623	0	1
2022.02.01	1.12343	1.12783	1.12206	1.12699	64284	0	1
2022.02.02	1.12699	1.13296	1.12661	1.13027	53613	0	1
2022.02.03	1.13028	1.14510	1.12669	1.14390	88937	0	1
2022.02.04	1.14381	1.14833	1.14113	1.14482	81317	0	1
2022.02.07	1.14647	1.14647	1.14148	1.14414	65720	0	1
2022.02.08	1.14414	1.14483	1.13958	1.14146	57377	0	1
2022.02.09	1.14146	1.14474	1.14021	1.14239	49611	0	1
2022.02.10	1.14241	1.14943	1.13744	1.14276	86903	0	1
2022.02.11	1.14276	1.14296	1.13294	1.13481	96439	0	1
2022.02.14	1.13376	1.13687	1.12796	1.13057	87892	0	1
2022.02.15	1.13060	1.13678	1.12977	1.13581	67602	0	1
2022.02.16	1.13581	1.13953	1.13445	1.13719	61789	0	1
2022.02.17	1.13719	1.13856	1.13226	1.13591	82861	0	1
2022.02.18	1.13591	1.13766	1.13142	1.13219	62016	0	1
2022.02.21	1.13185	1.13901	1.13063	1.13132	52835	0	1
2022.02.22	1.13133	1.13664	1.12875	1.13237	85947	0	1
2022.02.23	1.13243	1.13585	1.13008	1.13071	52849	0	1
2022.02.24	1.13071	1.13097	1.11061	1.11902	164515	0	1
2022.02.25	1.11899	1.12736	1.11655	1.12670	104975	0	1
2022.02.28	1.11251	1.12460	1.11244	1.12177	131483	0	1
2022.03.01	1.12178	1.12327	1.10893	1.11248	104867	0	1
2022.03.02	1.11251	1.11431	1.10571	1.11177	121527	0	1
2022.03.03	1.11174	1.11214	1.10332	1.10658	85347	0	1
2022.03.04	1.10663	1.10672	1.08850	1.09263	121954	0	1
2022.03.07	1.09223	1.09318	1.08055	1.08533	170044	0	1
2022.03.08	1.08535	1.09578	1.08480	1.09025	161407	0	1
2022.03.09	1.09025	1.10948	1.08896	1.10749	113604	0	1
2022.03.10	1.10749	1.11208	1.09758	1.09812	130920	0	1
2022.03.11	1.09807	1.10432	1.09015	1.09105	114769	0	1
2022.03.14	1.09168	1.09934	1.09001	1.09398	94804	0	1
2022.03.15	1.09396	1.10193	1.09256	1.09547	106839	0	1
2022.03.16	1.09533	1.10463	1.09478	1.10344	129114	0	1
2022.03.17	1.10344	1.11370	1.10077	1.10911	84815	0	1
2022.03.18	1.10911	1.11181	1.10026	1.10498	81450	0	1
2022.03.21	1.10567	1.10697	1.10098	1.10151	72561	0	1
2022.03.22	1.10158	1.10453	1.09604	1.10266	85873	0	1
2022.03.23	1.10254	1.10435	1.09636	1.10035	68138	0	1
2022.03.24	1.10035	1.10134	1.09656	1.09964	76596	0	1
2022.03.25	1.09962	1.10373	1.09805	1.09828	78884	0	1
2022.03.28	1.09849	1.09991	1.09444	1.09870	86866	0	1
2022.03.29	1.09870	1.11368	1.09693	1.10856	115571	0	1
2022.03.30	1.10857	1.11705	1.10779	1.11572	97642	0	1
2022.03.31	1.11572	1.11843	1.10605	1.10662	93976	0	1
2022.04.01	1.10662	1.10757	1.10275	1.10343	74290	0	1
2022.04.04	1.10312	1.10540	1.09601	1.09707	57002	0	1
2022.04.05	1.09712	1.09882	1.08996	1.09043	62913	0	1
2022.04.06	1.09043	1.09375	1.08740	1.08916	81249	0	1
2022.04.07	1.08914	1.09381	1.08645	1.08775	74414	0	1
2022.04.08	1.08775	1.08913	1.08360	1.08759	62581	0	1
2022.04.11	1.09197	1.09328	1.08723	1.08830	68192	0	1
2022.04.12	1.08829	1.09028	1.08208	1.08272	83336	0	1
2022.04.13	1.08276	1.08938	1.08085	1.08807	73161	0	1
2022.04.14	1.08798	1.09229	1.07570	1.08273	93775	0	1
2022.04.15	1.08273	1.08298	1.07960	1.08064	32418	0	1
2022.04.18	1.08036	1.08212	1.07694	1.07816	45714	0	1
2022.04.19	1.07821	1.08141	1.07607	1.07867	68508	0	1
2022.04.20	1.07866	1.08666	1.07836	1.08505	83066	0	1
2022.04.21	1.08505	1.09359	1.08231	1.08393	89882	0	1
2022.04.22	1.08414	1.08511	1.07694	1.07694	89343	0	1
2022.04.25	1.08085	1.08140	1.06963	1.07119	113154	0	1
2022.04.26	1.07119	1.07382	1.06353	1.06365	88611	0	1
2022.04.27	1.06371	1.06543	1.05141	1.05543	103563	0	1
2022.04.28	1.05541	1.05642	1.04709	1.04978	125023	0	1
2022.04.29	1.04973	1.05924	1.04906	1.05378	103940	0	1
2022.05.02	1.05513	1.05681	1.04899	1.04999	77564	0	1
2022.05.03	1.05037	1.05773	1.04918	1.05193	44358	0	1
2022.05.04	1.05193	1.06304	1.05056	1.06196	106560	0	10
2022.05.05	1.06199	1.06414	1.04922	1.05395	128448	0	10
2022.05.06	1.05397	1.05984	1.04823	1.05400	150898	0	10
2022.05.09	1.05383	1.05921	1.04947	1.05589	115500	0	10
2022.05.10	1.05589	1.05849	1.05249	1.05255	120944	0	10
2022.05.11	1.05255	1.05767	1.05015	1.05119	135489	0	10
2022.05.12	1.05118	1.05289	1.03536	1.03785	141227	0	10
2022.05.13	1.03785	1.04192	1.03492	1.04118	95589	0	10
2022.05.16	1.04086	1.04426	1.03886	1.04344	73787	0	10
2022.05.17	1.04347	1.05551	1.04281	1.05464	94816	0	10
2022.05.18	1.05467	1.05632	1.04597	1.04678	79482	0	10
2022.05.19	1.04678	1.06066	1.04599	1.05846	118489	0	10
2022.05.20	1.05845	1.05984	1.05324	1.05603	88870	0	10
2022.05.23	1.05589	1.06969	1.05531	1.06883	88064	0	10
2022.05.24	1.06883	1.07481	1.06604	1.07343	93420	0	10
2022.05.25	1.07343	1.07385	1.06417	1.06807	99116	0	10
2022.05.26	1.06812	1.07310	1.06620	1.07208	79473	0	10
2022.05.27	1.07035	1.07646	1.06965	1.07335	79120	0	10
2022.05.30	1.07341	1.07863	1.07253	1.07757	54409	0	10
2022.05.31	1.07757	1.07785	1.06785	1.07324	104347	0	10
2022.06.01	1.07331	1.07387	1.06267	1.06452	81533	0	10
2022.06.02	1.06447	1.07496	1.06420	1.07445	69554	0	10
2022.06.03	1.07445	1.07638	1.07036	1.07198	68153	0	10
2022.06.06	1.07241	1.07514	1.06835	1.06954	61819	0	10
2022.06.07	1.06955	1.07137	1.06516	1.06996	78541	0	10
2022.06.08	1.06994	1.07480	1.06709	1.07157	77017	0	10
2022.06.09	1.07157	1.07735	1.06106	1.06159	110120	0	10
2022.06.10	1.06156	1.06417	1.05052	1.05195	111530	0	10
2022.06.13	1.05151	1.05195	1.03994	1.04066	139693	0	10
2022.06.14	1.04070	1.04843	1.03965	1.04150	139103	0	10
2022.06.15	1.04150	1.05073	1.03585	1.04402	193226	0	10
2022.06.16	1.04402	1.06009	1.03804	1.05465	179253	0	10
2022.06.17	1.05470	1.05599	1.04439	1.04931	148146	0	10
2022.06.20	1.04742	1.05453	1.04741	1.05081	82452	0	10
2022.06.21	1.05081	1.05821	1.05060	1.05237	88432	0	10
2022.06.22	1.05223	1.06051	1.04685	1.05653	111667	0	10
2022.06.23	1.05650	1.05806	1.04823	1.05175	130511	0	10
2022.06.24	1.05169	1.05707	1.05116	1.05415	91712	0	8
2022.06.27	1.05454	1.06144	1.05454	1.05817	99928	0	7
2022.06.28	1.05817	1.06058	1.05030	1.05175	111526	0	8
2022.06.29	1.05175	1.05350	1.04348	1.04386	121803	0	2
2022.06.30	1.04386	1.04885	1.03822	1.04832	122165	0	0
2022.07.01	1.04832	1.04848	1.03653	1.04142	128341	0	10
2022.07.04	1.04134	1.04623	1.04134	1.04146	72226	0	10
2022.07.05	1.04146	1.04483	1.02347	1.02661	147203	0	10
2022.07.06	1.02661	1.02760	1.01613	1.01808	176152	0	10
2022.07.07	1.01805	1.02206	1.01437	1.01551	139464	0	10
2022.07.08	1.01551	1.01908	1.00715	1.01829	157505	0	2
2022.07.11	1.01774	1.01832	1.00332	1.00391	141613	0	8
2022.07.12	1.00391	1.00734	0.99996	1.00342	163769	0	7
2022.07.13	1.00342	1.01217	0.99976	1.00575	187161	0	6
2022.07.14	1.00575	1.00586	0.99519	1.00140	191311	0	0
2022.07.15	1.00129	1.00974	1.00065	1.00670	150361	0	7
2022.07.18	1.00814	1.02008	1.00783	1.01415	136730	0	7
2022.07.19	1.01415	1.02687	1.01192	1.02231	158431	0	5
2022.07.20	1.02231	1.02726	1.01550	1.01751	146415	0	6
2022.07.21	1.01743	1.02776	1.01531	1.02282	183663	0	0
2022.07.22	1.02282	1.02549	1.01293	1.02081	172572	0	5
2022.07.25	1.02083	1.02575	1.01785	1.02190	146902	0	6
2022.07.26	1.02187	1.02498	1.01071	1.01152	128514	0	7
2022.07.27	1.01146	1.02202	1.00962	1.02009	148043	0	5
2022.07.28	1.02009	1.02340	1.01136	1.01966	176177	0	8
2022.07.29	1.01966	1.02539	1.01456	1.02094	160341	0	5
2022.08.01	1.02044	1.02749	1.02044	1.02598	146186	0	6
2022.08.02	1.02594	1.02935	1.01630	1.01651	183385	0	0
2022.08.03	1.01651	1.02094	1.01223	1.01628	164034	0	4
2022.08.04	1.01628	1.02533	1.01537	1.02452	146175	0	2
2022.08.05	1.02450	1.02516	1.01411	1.01778	143663	0	4
2022.08.08	1.01733	1.02214	1.01587	1.01940	60371	0	7
2022.08.09	1.01940	1.02469	1.01881	1.02121	45683	0	8
2022.08.10	1.02121	1.03680	1.02017	1.02987	60784	0	0
2022.08.11	1.02988	1.03640	1.02751	1.03180	63724	0	6
2022.08.12	1.03180	1.03268	1.02378	1.02585	55964	0	5
2022.08.15	1.02544	1.02678	1.01542	1.01595	52211	0	8
2022.08.16	1.01595	1.01944	1.01221	1.01705	54952	0	1
2022.08.17	1.01646	1.02024	1.01450	1.01789	60986	0	3
2022.08.18	1.01770	1.01926	1.00795	1.00827	58211	0	6
2022.08.19	1.00884	1.00950	1.00316	1.00348	51646	0	6
2022.08.22	1.00344	1.00462	0.99257	0.99429	56966	0	1
2022.08.23	0.99428	1.00174	0.99002	0.99688	61236	0	4
2022.08.24	0.99687	0.99983	0.99097	0.99638	57151	0	6
2022.08.25	0.99618	1.00330	0.99486	0.99733	58370	0	6
2022.08.26	0.99738	1.00885	0.99461	0.99633	61358	0	6
2022.08.29	0.99650	1.00287	0.99137	0.99927	63720	0	0
2022.08.30	0.99922	1.00544	0.99817	1.00131	69483	0	0
2022.08.31	1.00127	1.00787	0.99709	1.00512	68703	0	0
2022.09.01	1.00504	1.00553	0.99107	0.99439	70242	0	3
2022.09.02	0.99439	1.00331	0.99425	0.99507	63539	0	0
2022.09.05	0.99200	0.99434	0.98777	0.99220	53095	0	2
2022.09.06	0.99220	0.99858	0.98645	0.99031	74604	0	6
2022.09.07	0.99031	1.00104	0.98754	0.99933	67776	0	3
2022.09.08	0.99923	1.00286	0.99303	0.99939	73210	0	0
2022.09.09	0.99944	1.01129	0.99925	1.00366	68967	0	2
2022.09.12	1.01035	1.01974	1.00594	1.01215	66291	0	0
2022.09.13	1.01218	1.01867	0.99661	0.99704	64991	0	0
2022.09.14	0.99675	1.00231	0.99551	0.99797	71545	0	0
2022.09.15	0.99799	1.00173	0.99554	0.99947	57614	0	3
2022.09.16	0.99947	1.00361	0.99448	1.00145	63488	0	5
2022.09.19	1.00054	1.00287	0.99656	1.00208	50108	0	8
2022.09.20	1.00205	1.00502	0.99548	0.99697	63076	0	3
2022.09.21	0.99673	0.99757	0.98226	0.98361	74895	0	0
2022.09.22	0.98361	0.99071	0.98078	0.98322	85858	0	0
2022.09.23	0.98330	0.98513	0.96677	0.96859	78526	0	0
2022.09.26	0.96682	0.97094	0.95501	0.96088	108538	0	0
2022.09.27	0.96088	0.96699	0.95688	0.95927	84260	0	9
2022.09.28	0.95927	0.97505	0.95356	0.97318	104768	0	3
2022.09.29	0.97313	0.98156	0.96353	0.98149	94060	0	0
2022.09.30	0.98149	0.98534	0.97344	0.97950	95142	0	0
2022.10.03	0.97746	0.98441	0.97524	0.98241	84167	0	0
2022.10.04	0.98236	0.99992	0.98057	0.99850	85191	0	7
2022.10.05	0.99849	0.99946	0.98343	0.98685	77936	0	0
2022.10.06	0.98689	0.99259	0.97878	0.97905	87739	0	0
2022.10.07	0.97885	0.98164	0.97258	0.97385	77216	0	1
2022.10.10	0.97278	0.97528	0.96812	0.96974	70111	0	0
2022.10.11	0.96984	0.97742	0.96704	0.97049	84062	0	0
2022.10.12	0.97039	0.97341	0.96675	0.97019	81131	0	2
2022.10.13	0.97010	0.98055	0.96314	0.97705	85659	0	0
2022.10.14	0.97707	0.98082	0.97074	0.97204	86924	0	0
2022.10.17	0.97208	0.98517	0.97192	0.98371	74004	0	0
2022.10.18	0.98322	0.98753	0.98123	0.98480	76858	0	0
2022.10.19	0.98481	0.98720	0.97570	0.97721	73753	0	4
2022.10.20	0.97719	0.98450	0.97543	0.97855	85187	0	0
2022.10.21	0.97824	0.98686	0.97046	0.98618	97722	0	0
2022.10.24	0.98725	0.98988	0.98064	0.98735	96752	0	0
2022.10.25	0.98734	0.99763	0.98485	0.99634	75291	0	5
2022.10.26	0.99627	1.00881	0.99431	1.00784	81482	0	3
2022.10.27	1.00774	1.00932	0.99573	0.99640	85801	0	0
2022.10.28	0.99637	0.99976	0.99262	0.99643	77074	0	0
2022.10.31	0.99487	0.99654	0.98726	0.98770	60998	0	6
2022.11.01	0.98723	0.99531	0.98525	0.98764	69396	0	9
2022.11.02	0.98764	0.99754	0.98125	0.98169	71604	0	0
2022.11.03	0.98159	0.98391	0.97297	0.97464	70944	0	2
2022.11.04	0.97465	0.99661	0.97423	0.99460	81461	0	0
2022.11.07	0.99059	1.00336	0.99002	1.00195	73081	0	0
2022.11.08	1.00197	1.00959	0.99719	1.00729	63431	0	0
2022.11.09	1.00732	1.00878	0.99924	1.00107	77769	0	0
2022.11.10	1.00013	1.02214	0.99351	1.02081	85045	0	0
2022.11.11	1.02055	1.03637	1.01628	1.03500	91100	0	0
2022.11.14	1.03327	1.03581	1.02711	1.03260	82927	0	2
2022.11.15	1.03257	1.04801	1.02797	1.03481	96547	0	0
2022.11.16	1.03483	1.04380	1.03306	1.03938	86528	0	0
2022.11.17	1.03941	1.04061	1.03049	1.03639	74934	0	0
2022.11.18	1.03640	1.03953	1.03131	1.03251	63398	0	2
2022.11.21	1.03212	1.03326	1.02223	1.02402	64621	0	0
2022.11.22	1.02403	1.03077	1.02392	1.03025	55496	0	6
2022.11.23	1.03026	1.04046	1.02961	1.03957	61774	0	6
2022.11.24	1.03954	1.04481	1.03815	1.04093	48662	0	0
2022.11.25	1.04035	1.04288	1.03543	1.03967	63350	0	0
2022.11.28	1.03709	1.04962	1.03299	1.03395	76501	0	0
2022.11.29	1.03391	1.03939	1.03196	1.03281	74913	0	4
2022.11.30	1.03263	1.04283	1.02898	1.04052	82502	0	0
2022.12.01	1.04040	1.05334	1.03930	1.05131	92840	0	0
2022.12.02	1.05147	1.05446	1.04372	1.05405	84375	0	0
2022.12.05	1.05299	1.05943	1.04798	1.04850	77620	0	4
2022.12.06	1.04885	1.05324	1.04590	1.04651	75495	0	9
2022.12.07	1.04606	1.05491	1.04429	1.05081	73385	0	0
2022.12.08	1.05083	1.05643	1.04893	1.05563	70900	0	7
2022.12.09	1.05569	1.05878	1.05100	1.05313	67889	0	0
2022.12.12	1.05271	1.05795	1.05057	1.05325	58895	0	0
2022.12.13	1.05284	1.06729	1.05276	1.06316	73622	0	0
2022.12.14	1.06315	1.06946	1.06186	1.06817	80029	0	0
2022.12.15	1.06816	1.07355	1.05920	1.06265	79150	0	0
2022.12.16	1.06247	1.06624	1.05844	1.05851	70844	0	0
2022.12.19	1.05891	1.06575	1.05755	1.06063	64897	0	0
2022.12.20	1.06055	1.06580	1.05785	1.06240	86532	0	0
2022.12.21	1.06235	1.06440	1.05900	1.06033	65039	0	4
2022.12.22	1.06038	1.06589	1.05729	1.05941	70667	0	8
2022.12.23	1.05959	1.06324	1.05862	1.06136	61606	0	4
2022.12.27	1.06349	1.06689	1.06111	1.06384	50035	0	8
2022.12.28	1.06387	1.06740	1.06062	1.06114	61328	0	8
2022.12.29	1.06115	1.06898	1.06074	1.06604	50987	0	8
2022.12.30	1.06600	1.07127	1.06382	1.07076	59586	0	7
2023.01.03	1.06659	1.06830	1.05192	1.05467	75767	0	1
2023.01.04	1.05463	1.06350	1.05403	1.06027	73428	0	4
2023.01.05	1.06029	1.06310	1.05146	1.05209	70438	0	0
2023.01.06	1.05217	1.06475	1.04829	1.06432	69942	0	0
2023.01.09	1.06407	1.07601	1.06380	1.07284	70453	0	7
2023.01.10	1.07272	1.07589	1.07117	1.07324	69796	0	8
2023.01.11	1.07321	1.07759	1.07251	1.07562	57852	0	4
2023.01.12	1.07563	1.08664	1.07277	1.08525	79670	0	0
2023.01.13	1.08409	1.08675	1.07800	1.08301	71793	0	6
2023.01.16	1.08334	1.08735	1.08011	1.08225	48112	0	13
2023.01.17	1.08228	1.08687	1.07742	1.07872	71479	0	13
2023.01.18	1.07905	1.08870	1.07656	1.07930	83980	0	2
2023.01.19	1.07930	1.08394	1.07819	1.08323	72333	0	7
2023.01.20	1.08317	1.08584	1.08018	1.08555	85269	0	7
2023.01.23	1.08674	1.09264	1.08459	1.08703	75027	0	3
2023.01.24	1.08706	1.08975	1.08347	1.08845	49415	0	6
2023.01.25	1.08845	1.09232	1.08569	1.09145	54705	0	6
2023.01.26	1.09143	1.09290	1.08502	1.08905	64267	0	4
2023.01.27	1.08911	1.08999	1.08374	1.08684	52410	0	7
2023.01.30	1.08633	1.09132	1.08388	1.08484	59389	0	10
2023.01.31	1.08478	1.08744	1.08016	1.08615	60268	0	10
2023.02.01	1.08619	1.10000	1.08519	1.09879	65694	0	10
2023.02.02	1.09881	1.10325	1.08852	1.09083	73616	0	10
2023.02.03	1.09083	1.09396	1.07919	1.07945	71939	0	10
2023.02.06	1.07832	1.07985	1.07092	1.07242	58169	0	10
2023.02.07	1.07259	1.07662	1.06687	1.07230	71833	0	10
2023.02.08	1.07231	1.07602	1.07090	1.07096	60459	0	10
2023.02.09	1.07092	1.07904	1.07083	1.07357	56016	0	10
2023.02.10	1.07357	1.07524	1.06659	1.06769	59928	0	10
2023.02.13	1.06825	1.07295	1.06551	1.07190	58241	0	10
2023.02.14	1.07191	1.08031	1.07064	1.07355	71222	0	10
2023.02.15	1.07353	1.07440	1.06600	1.06879	66111	0	10
