<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.03	03:30:00	1.11753	1.11764	1.11717	1.11730	490	0	8
2020.01.03	04:00:00	1.11731	1.11767	1.11727	1.11760	579	0	9
2020.01.03	04:30:00	1.11759	1.11769	1.11714	1.11721	676	0	8
2020.01.03	05:00:00	1.11719	1.11727	1.11690	1.11713	559	0	9
2020.01.03	05:30:00	1.11713	1.11732	1.11706	1.11715	306	0	7
2020.01.03	06:00:00	1.11716	1.11745	1.11716	1.11731	336	0	7
2020.01.03	06:30:00	1.11731	1.11737	1.11679	1.11695	314	0	6
2020.01.03	07:00:00	1.11695	1.11700	1.11638	1.11659	526	0	10
2020.01.03	07:30:00	1.11652	1.11695	1.11652	1.11659	495	0	9
2020.01.03	08:00:00	1.11659	1.11677	1.11635	1.11670	504	0	8
2020.01.03	08:30:00	1.11670	1.11691	1.11668	1.11685	287	0	8
2020.01.03	09:00:00	1.11686	1.11711	1.11561	1.11581	1044	0	3
2020.01.03	09:30:00	1.11582	1.11596	1.11515	1.11526	1268	0	7
2020.01.03	10:00:00	1.11527	1.11601	1.11515	1.11578	1246	0	8
2020.01.03	10:30:00	1.11576	1.11584	1.11500	1.11507	903	0	8
2020.01.03	11:00:00	1.11506	1.11517	1.11425	1.11465	955	0	8
2020.01.03	11:30:00	1.11462	1.11492	1.11394	1.11395	952	0	6
2020.01.03	12:00:00	1.11396	1.11428	1.11310	1.11343	1174	0	7
2020.01.03	12:30:00	1.11342	1.11363	1.11302	1.11355	754	0	7
2020.01.03	13:00:00	1.11351	1.11353	1.11261	1.11292	828	0	6
2020.01.03	13:30:00	1.11292	1.11307	1.11244	1.11295	841	0	7
2020.01.03	14:00:00	1.11295	1.11321	1.11276	1.11298	659	0	6
2020.01.03	14:30:00	1.11297	1.11421	1.11294	1.11386	819	0	6
2020.01.03	15:00:00	1.11385	1.11482	1.11371	1.11452	1055	0	7
2020.01.03	15:30:00	1.11453	1.11473	1.11367	1.11377	791	0	0
2020.01.03	16:00:00	1.11376	1.11487	1.11348	1.11459	810	0	6
2020.01.03	16:30:00	1.11462	1.11536	1.11456	1.11516	1191	0	5
2020.01.03	17:00:00	1.11647	1.11662	1.11540	1.11625	1888	0	0
2020.01.03	17:30:00	1.11625	1.11669	1.11554	1.11629	1420	0	8
2020.01.03	18:00:00	1.11629	1.11738	1.11619	1.11731	1118	0	7
2020.01.03	18:30:00	1.11730	1.11795	1.11706	1.11714	1040	0	7
2020.01.03	19:00:00	1.11715	1.11736	1.11703	1.11722	763	0	9
2020.01.03	19:30:00	1.11721	1.11730	1.11674	1.11715	591	0	3
2020.01.03	20:00:00	1.11716	1.11727	1.11693	1.11696	550	0	8
2020.01.03	20:30:00	1.11695	1.11711	1.11654	1.11667	1048	0	7
2020.01.03	21:00:00	1.11661	1.11675	1.11607	1.11623	952	0	8
2020.01.03	21:30:00	1.11625	1.11672	1.11610	1.11668	622	0	7
2020.01.03	22:00:00	1.11668	1.11668	1.11610	1.11614	449	0	7
2020.01.03	22:30:00	1.11614	1.11615	1.11596	1.11610	275	0	7
2020.01.03	23:00:00	1.11610	1.11615	1.11573	1.11596	272	0	9
2020.01.03	23:30:00	1.11595	1.11596	1.11517	1.11559	260	0	10
2020.01.06	00:00:00	1.11625	1.11660	1.11578	1.11600	220	0	14
2020.01.06	00:30:00	1.11600	1.11603	1.11584	1.11591	102	0	16
2020.01.06	01:00:00	1.11591	1.11671	1.11584	1.11670	605	0	7
2020.01.06	01:30:00	1.11669	1.11670	1.11598	1.11600	586	0	7
2020.01.06	02:00:00	1.11598	1.11675	1.11597	1.11666	568	0	7
2020.01.06	02:30:00	1.11666	1.11678	1.11624	1.11631	504	0	9
2020.01.06	03:00:00	1.11632	1.11649	1.11612	1.11629	488	0	9
2020.01.06	03:30:00	1.11630	1.11634	1.11608	1.11622	406	0	8
2020.01.06	04:00:00	1.11622	1.11661	1.11618	1.11659	322	0	9
2020.01.06	04:30:00	1.11659	1.11665	1.11639	1.11648	229	0	8
2020.01.06	05:00:00	1.11649	1.11702	1.11648	1.11697	284	0	7
2020.01.06	05:30:00	1.11698	1.11705	1.11652	1.11653	453	0	7
2020.01.06	06:00:00	1.11654	1.11657	1.11620	1.11629	279	0	9
2020.01.06	06:30:00	1.11628	1.11639	1.11611	1.11638	245	0	9
2020.01.06	07:00:00	1.11639	1.11646	1.11632	1.11640	260	0	8
2020.01.06	07:30:00	1.11642	1.11642	1.11601	1.11618	237	0	10
2020.01.06	08:00:00	1.11618	1.11619	1.11566	1.11599	366	0	9
2020.01.06	08:30:00	1.11599	1.11610	1.11569	1.11603	421	0	8
2020.01.06	09:00:00	1.11599	1.11646	1.11592	1.11625	808	0	8
2020.01.06	09:30:00	1.11625	1.11662	1.11611	1.11641	734	0	8
2020.01.06	10:00:00	1.11645	1.11694	1.11628	1.11662	907	0	9
2020.01.06	10:30:00	1.11661	1.11793	1.11649	1.11781	943	0	7
2020.01.06	11:00:00	1.11782	1.11809	1.11747	1.11784	920	0	9
2020.01.06	11:30:00	1.11786	1.11931	1.11781	1.11927	1008	0	5
2020.01.06	12:00:00	1.11927	1.11991	1.11894	1.11956	924	0	9
2020.01.06	12:30:00	1.11957	1.11976	1.11918	1.11958	657	0	6
2020.01.06	13:00:00	1.11958	1.12048	1.11957	1.12019	945	0	7
2020.01.06	13:30:00	1.12020	1.12050	1.12004	1.12027	727	0	8
2020.01.06	14:00:00	1.12028	1.12037	1.11954	1.11975	678	0	8
2020.01.06	14:30:00	1.11976	1.11993	1.11946	1.11976	522	0	8
2020.01.06	15:00:00	1.11978	1.11996	1.11906	1.11953	753	0	8
2020.01.06	15:30:00	1.11955	1.12029	1.11946	1.11970	762	0	7
2020.01.06	16:00:00	1.11972	1.11997	1.11926	1.11942	659	0	8
2020.01.06	16:30:00	1.11942	1.11957	1.11819	1.11827	990	0	7
2020.01.06	17:00:00	1.11827	1.11877	1.11821	1.11870	869	0	8
2020.01.06	17:30:00	1.11869	1.11896	1.11816	1.11881	1322	0	8
2020.01.06	18:00:00	1.11883	1.11890	1.11806	1.11852	936	0	7
2020.01.06	18:30:00	1.11852	1.11872	1.11840	1.11867	625	0	9
2020.01.06	19:00:00	1.11866	1.11955	1.11836	1.11925	617	0	8
2020.01.06	19:30:00	1.11924	1.11945	1.11901	1.11945	510	0	8
2020.01.06	20:00:00	1.11947	1.11961	1.11927	1.11951	477	0	7
2020.01.06	20:30:00	1.11952	1.11974	1.11911	1.11914	333	0	7
2020.01.06	21:00:00	1.11914	1.11923	1.11895	1.11916	368	0	7
2020.01.06	21:30:00	1.11917	1.11918	1.11876	1.11906	473	0	9
2020.01.06	22:00:00	1.11908	1.11911	1.11884	1.11898	423	0	9
2020.01.06	22:30:00	1.11896	1.11934	1.11889	1.11932	367	0	9
2020.01.06	23:00:00	1.11929	1.11950	1.11924	1.11941	178	0	7
2020.01.06	23:30:00	1.11940	1.11985	1.11940	1.11964	172	0	5
2020.01.07	00:00:00	1.11928	1.11950	1.11927	1.11940	63	0	15
2020.01.07	00:30:00	1.11941	1.11952	1.11935	1.11948	301	0	11
2020.01.07	01:00:00	1.11954	1.11969	1.11942	1.11947	193	0	11
2020.01.07	01:30:00	1.11946	1.11958	1.11936	1.11949	295	0	10
2020.01.07	02:00:00	1.11949	1.11950	1.11927	1.11931	328	0	7
2020.01.07	02:30:00	1.11931	1.11931	1.11886	1.11892	311	0	8
2020.01.07	03:00:00	1.11892	1.11966	1.11889	1.11960	302	0	9
2020.01.07	03:30:00	1.11960	1.11965	1.11928	1.11929	370	0	9
2020.01.07	04:00:00	1.11926	1.11928	1.11911	1.11912	197	0	10
2020.01.07	04:30:00	1.11912	1.11917	1.11905	1.11909	116	0	8
2020.01.07	05:00:00	1.11910	1.11937	1.11907	1.11925	253	0	9
2020.01.07	05:30:00	1.11927	1.11938	1.11915	1.11917	203	0	8
2020.01.07	06:00:00	1.11916	1.11930	1.11906	1.11924	257	0	8
2020.01.07	06:30:00	1.11925	1.11928	1.11901	1.11903	199	0	10
2020.01.07	07:00:00	1.11904	1.11920	1.11896	1.11909	182	0	8
2020.01.07	07:30:00	1.11910	1.11913	1.11822	1.11824	347	0	10
2020.01.07	08:00:00	1.11826	1.11881	1.11803	1.11847	850	0	8
2020.01.07	08:30:00	1.11849	1.11893	1.11807	1.11810	749	0	6
2020.01.07	09:00:00	1.11811	1.11849	1.11777	1.11811	907	0	8
2020.01.07	09:30:00	1.11810	1.11812	1.11724	1.11735	996	0	7
2020.01.07	10:00:00	1.11739	1.11805	1.11722	1.11802	1095	0	8
2020.01.07	10:30:00	1.11801	1.11870	1.11798	1.11842	1087	0	8
2020.01.07	11:00:00	1.11842	1.11892	1.11804	1.11825	924	0	8
2020.01.07	11:30:00	1.11824	1.11840	1.11800	1.11840	792	0	7
2020.01.07	12:00:00	1.11840	1.11856	1.11644	1.11656	1132	0	8
2020.01.07	12:30:00	1.11658	1.11762	1.11656	1.11757	855	0	9
2020.01.07	13:00:00	1.11755	1.11788	1.11715	1.11782	837	0	8
