<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	00:00:00	1.12078	1.12241	1.11975	1.12039	4298	0	7
2020.01.02	08:00:00	1.12039	1.12137	1.11825	1.11957	10922	0	3
2020.01.02	16:00:00	1.11958	1.12025	1.11631	1.11720	13560	0	6
2020.01.03	00:00:00	1.11710	1.11780	1.11638	1.11659	5562	0	6
2020.01.03	08:00:00	1.11659	1.11711	1.11244	1.11377	14080	0	0
2020.01.03	16:00:00	1.11376	1.11795	1.11348	1.11559	13249	0	0
2020.01.06	00:00:00	1.11625	1.11705	1.11578	1.11618	5788	0	7
2020.01.06	08:00:00	1.11618	1.12050	1.11566	1.11970	12075	0	5
2020.01.06	16:00:00	1.11972	1.11997	1.11806	1.11964	9319	0	5
2020.01.07	00:00:00	1.11928	1.11969	1.11822	1.11824	3917	0	7
2020.01.07	08:00:00	1.11826	1.11893	1.11542	1.11557	14876	0	6
2020.01.07	16:00:00	1.11555	1.11617	1.11331	1.11514	11567	0	4
2020.01.08	00:00:00	1.11510	1.11677	1.11438	1.11486	11659	0	0
2020.01.08	08:00:00	1.11486	1.11544	1.11106	1.11194	16663	0	0
2020.01.08	16:00:00	1.11195	1.11302	1.11016	1.11038	12561	0	5
2020.01.09	00:00:00	1.11046	1.11188	1.11027	1.11178	4676	0	7
2020.01.09	08:00:00	1.11177	1.11199	1.10961	1.11144	12892	0	2
2020.01.09	16:00:00	1.11144	1.11144	1.10925	1.11059	9322	0	5
2020.01.10	00:00:00	1.11040	1.11106	1.10998	1.11085	3537	0	7
2020.01.10	08:00:00	1.11084	1.11132	1.10846	1.10961	11610	0	1
2020.01.10	16:00:00	1.10961	1.11287	1.10856	1.11160	10749	0	6
2020.01.13	00:00:00	1.11150	1.11314	1.11117	1.11292	3124	0	6
2020.01.13	08:00:00	1.11291	1.11356	1.11120	1.11182	10535	0	6
2020.01.13	16:00:00	1.11182	1.11463	1.11171	1.11336	8453	0	5
2020.01.14	00:00:00	1.11331	1.11416	1.11290	1.11364	4432	0	7
2020.01.14	08:00:00	1.11364	1.11439	1.11044	1.11097	11871	0	4
2020.01.14	16:00:00	1.11096	1.11343	1.11039	1.11258	10088	0	4
2020.01.15	00:00:00	1.11255	1.11340	1.11237	1.11334	3417	0	7
2020.01.15	08:00:00	1.11334	1.11542	1.11181	1.11485	10712	0	3
2020.01.15	16:00:00	1.11483	1.11629	1.11427	1.11490	9506	0	6
2020.01.16	00:00:00	1.11488	1.11576	1.11486	1.11492	3755	0	7
2020.01.16	08:00:00	1.11493	1.11721	1.11441	1.11509	10982	0	5
2020.01.16	16:00:00	1.11508	1.11595	1.11275	1.11351	10041	0	0
2020.01.17	00:00:00	1.11348	1.11421	1.11303	1.11360	3769	0	7
2020.01.17	08:00:00	1.11360	1.11408	1.10974	1.10999	11128	0	3
2020.01.17	16:00:00	1.11000	1.11056	1.10857	1.10884	8276	0	6
2020.01.20	00:00:00	1.10913	1.10984	1.10884	1.10973	3066	0	7
2020.01.20	08:00:00	1.10971	1.11019	1.10801	1.10831	7194	0	5
2020.01.20	16:00:00	1.10830	1.10973	1.10762	1.10954	5339	0	5
2020.01.21	00:00:00	1.10936	1.10988	1.10882	1.10947	3801	0	7
2020.01.21	08:00:00	1.10948	1.11176	1.10850	1.11131	11382	0	6
