<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.14	12:00:00	1.11308	1.11348	1.11044	1.11097	6495	0	4
2020.01.14	16:00:00	1.11096	1.11322	1.11039	1.11305	6981	0	4
2020.01.14	20:00:00	1.11303	1.11343	1.11243	1.11258	3107	0	7
2020.01.15	00:00:00	1.11255	1.11306	1.11237	1.11291	1635	0	7
2020.01.15	04:00:00	1.11291	1.11340	1.11264	1.11334	1782	0	8
2020.01.15	08:00:00	1.11334	1.11362	1.11181	1.11278	4510	0	7
2020.01.15	12:00:00	1.11276	1.11542	1.11245	1.11485	6202	0	3
2020.01.15	16:00:00	1.11483	1.11629	1.11427	1.11572	6886	0	6
2020.01.15	20:00:00	1.11571	1.11592	1.11476	1.11490	2620	0	7
2020.01.16	00:00:00	1.11488	1.11576	1.11486	1.11531	2528	0	7
2020.01.16	04:00:00	1.11530	1.11545	1.11491	1.11492	1227	0	7
2020.01.16	08:00:00	1.11493	1.11632	1.11441	1.11529	4935	0	8
2020.01.16	12:00:00	1.11532	1.11721	1.11495	1.11509	6047	0	5
2020.01.16	16:00:00	1.11508	1.11595	1.11275	1.11342	7625	0	0
2020.01.16	20:00:00	1.11342	1.11377	1.11312	1.11351	2416	0	7
2020.01.17	00:00:00	1.11348	1.11388	1.11314	1.11363	1968	0	8
2020.01.17	04:00:00	1.11364	1.11421	1.11303	1.11360	1801	0	7
2020.01.17	08:00:00	1.11360	1.11408	1.11242	1.11270	4569	0	3
2020.01.17	12:00:00	1.11271	1.11277	1.10974	1.10999	6559	0	5
2020.01.17	16:00:00	1.11000	1.11056	1.10857	1.10905	6259	0	6
2020.01.17	20:00:00	1.10904	1.10941	1.10880	1.10884	2017	0	6
2020.01.20	00:00:00	1.10913	1.10980	1.10884	1.10958	1814	0	8
2020.01.20	04:00:00	1.10957	1.10984	1.10935	1.10973	1252	0	7
2020.01.20	08:00:00	1.10971	1.11019	1.10817	1.10891	4391	0	7
2020.01.20	12:00:00	1.10891	1.10900	1.10801	1.10831	2803	0	5
2020.01.20	16:00:00	1.10830	1.10863	1.10762	1.10829	2605	0	7
2020.01.20	20:00:00	1.10830	1.10973	1.10818	1.10954	2734	0	5
2020.01.21	00:00:00	1.10936	1.10972	1.10882	1.10901	1873	0	7
2020.01.21	04:00:00	1.10901	1.10988	1.10901	1.10947	1928	0	7
2020.01.21	08:00:00	1.10948	1.10969	1.10850	1.10899	5106	0	6
2020.01.21	12:00:00	1.10902	1.11176	1.10895	1.11131	6276	0	7
2020.01.21	16:00:00	1.11131	1.11132	1.10884	1.10911	5452	0	6
2020.01.21	20:00:00	1.10912	1.10947	1.10805	1.10814	3036	0	7
2020.01.22	00:00:00	1.10812	1.10863	1.10772	1.10812	2087	0	8
2020.01.22	04:00:00	1.10812	1.10852	1.10768	1.10840	1720	0	7
2020.01.22	08:00:00	1.10840	1.10922	1.10746	1.10902	4716	0	6
2020.01.22	12:00:00	1.10902	1.10941	1.10766	1.10892	5526	0	7
2020.01.22	16:00:00	1.10894	1.10979	1.10696	1.10851	7451	0	1
2020.01.22	20:00:00	1.10851	1.10946	1.10834	1.10937	2661	0	5
2020.01.23	00:00:00	1.10909	1.10990	1.10794	1.10886	2806	0	4
2020.01.23	04:00:00	1.10887	1.10909	1.10804	1.10825	1894	0	6
2020.01.23	08:00:00	1.10827	1.10917	1.10784	1.10839	4408	0	6
2020.01.23	12:00:00	1.10838	1.11081	1.10797	1.10861	7174	0	1
2020.01.23	16:00:00	1.10863	1.10898	1.10358	1.10503	11191	0	1
2020.01.23	20:00:00	1.10504	1.10585	1.10476	1.10572	3246	0	6
2020.01.24	00:00:00	1.10502	1.10569	1.10498	1.10532	1517	0	7
2020.01.24	04:00:00	1.10533	1.10534	1.10462	1.10483	1380	0	7
2020.01.24	08:00:00	1.10483	1.10611	1.10333	1.10353	6817	0	5
2020.01.24	12:00:00	1.10351	1.10392	1.10257	1.10383	5044	0	6
2020.01.24	16:00:00	1.10384	1.10393	1.10195	1.10266	7657	0	7
2020.01.24	20:00:00	1.10267	1.10325	1.10205	1.10210	3481	0	7
2020.01.27	00:00:00	1.10290	1.10343	1.10231	1.10330	4407	0	1
2020.01.27	04:00:00	1.10330	1.10352	1.10262	1.10303	1347	0	8
2020.01.27	08:00:00	1.10302	1.10371	1.10146	1.10203	6078	0	7
2020.01.27	12:00:00	1.10203	1.10311	1.10177	1.10267	4880	0	6
2020.01.27	16:00:00	1.10267	1.10316	1.10092	1.10146	6861	0	5
2020.01.27	20:00:00	1.10147	1.10197	1.10123	1.10187	2599	0	7
2020.01.28	00:00:00	1.10179	1.10247	1.10160	1.10193	1514	0	8
2020.01.28	04:00:00	1.10193	1.10225	1.10172	1.10213	1279	0	8
2020.01.28	08:00:00	1.10213	1.10229	1.10121	1.10162	5361	0	4
2020.01.28	12:00:00	1.10160	1.10223	1.10015	1.10048	5326	0	7
2020.01.28	16:00:00	1.10048	1.10102	1.09974	1.10086	6053	0	6
2020.01.28	20:00:00	1.10086	1.10223	1.10085	1.10210	2334	0	7
2020.01.29	00:00:00	1.10216	1.10270	1.10154	1.10161	2180	0	8
2020.01.29	04:00:00	1.10160	1.10165	1.10107	1.10142	1210	0	7
2020.01.29	08:00:00	1.10143	1.10159	1.09940	1.10017	4256	0	7
2020.01.29	12:00:00	1.10016	1.10037	1.09919	1.09920	3842	0	7
2020.01.29	16:00:00	1.09920	1.10093	1.09920	1.10043	5846	0	5
2020.01.29	20:00:00	1.10043	1.10201	1.09979	1.10095	4476	0	0
2020.01.30	00:00:00	1.10080	1.10175	1.10040	1.10105	1942	0	7
2020.01.30	04:00:00	1.10105	1.10167	1.10105	1.10129	1396	0	5
2020.01.30	08:00:00	1.10130	1.10207	1.10063	1.10185	4537	0	6
2020.01.30	12:00:00	1.10184	1.10313	1.10109	1.10249	6421	0	7
2020.01.30	16:00:00	1.10248	1.10377	1.10147	1.10372	7885	0	5
2020.01.30	20:00:00	1.10370	1.10388	1.10282	1.10307	4402	0	7
2020.01.31	00:00:00	1.10302	1.10350	1.10262	1.10286	2183	0	7
2020.01.31	04:00:00	1.10286	1.10327	1.10209	1.10210	1650	0	7
2020.01.31	08:00:00	1.10210	1.10336	1.10164	1.10278	4296	0	6
2020.01.31	12:00:00	1.10278	1.10552	1.10221	1.10545	6573	0	5
2020.01.31	16:00:00	1.10546	1.10898	1.10483	1.10823	9891	0	0
2020.01.31	20:00:00	1.10823	1.10949	1.10774	1.10940	4810	0	7
2020.02.03	00:00:00	1.10930	1.10933	1.10795	1.10825	3479	0	5
2020.02.03	04:00:00	1.10828	1.10844	1.10796	1.10839	2156	0	5
2020.02.03	08:00:00	1.10839	1.10857	1.10586	1.10721	5660	0	7
2020.02.03	12:00:00	1.10720	1.10736	1.10579	1.10625	5223	0	6
2020.02.03	16:00:00	1.10624	1.10659	1.10351	1.10582	8838	0	0
2020.02.03	20:00:00	1.10581	1.10649	1.10566	1.10603	3025	0	6
2020.02.04	00:00:00	1.10568	1.10637	1.10560	1.10598	1832	0	8
