time,open,high,low,close,volume,spread
2023.07.13 01:00:00,1956.76,1958.38,1956.76,1957.73,1055,12
2023.07.13 02:00:00,1957.73,1957.97,1957.42,1957.78,921,12
2023.07.13 03:00:00,1957.84,1958.91,1956.53,1957,3158,12
2023.07.13 04:00:00,1957.03,1959.94,1956.4,1959.56,4479,12
2023.07.13 05:00:00,1959.56,1961.72,1958.64,1960.11,3601,12
2023.07.13 06:00:00,1960.1,1961.07,1958.84,1960.33,3066,12
2023.07.13 07:00:00,1960.34,1962.32,1957.15,1957.24,2756,12
2023.07.13 08:00:00,1957.2,1958.47,1955.29,1955.44,4210,12
2023.07.13 09:00:00,1955.46,1963.01,1955.46,1962.87,5026,12
2023.07.13 10:00:00,1962.79,1963.34,1959.38,1961.83,4618,12
2023.07.13 11:00:00,1961.84,1962.78,1960.26,1960.9,3811,12
2023.07.13 12:00:00,1960.91,1960.97,1959.43,1960.02,3162,12
2023.07.13 13:00:00,1960.01,1960.58,1958.21,1960.52,3222,12
2023.07.13 14:00:00,1960.52,1960.7,1957.95,1959.91,3443,12
2023.07.13 15:00:00,1959.9,1963.62,1952.42,1957.57,7682,12
2023.07.13 16:00:00,1957.55,1961.4,1956.72,1958.52,8347,12
2023.07.13 17:00:00,1958.52,1961.9,1957.55,1960.83,7403,12
2023.07.13 18:00:00,1960.83,1961.6,1954.71,1954.98,5882,12
2023.07.13 19:00:00,1955.01,1959.77,1954.77,1958.79,5053,12
2023.07.13 20:00:00,1958.79,1960.45,1957.59,1960.05,3953,12
2023.07.13 21:00:00,1960.01,1960.82,1958.87,1959.91,3115,12
2023.07.13 22:00:00,1959.91,1960.51,1959.58,1959.96,2860,12
2023.07.13 23:00:00,1959.95,1960.7,1959.82,1960.34,1289,12
2023.07.14 01:00:00,1960.19,1960.89,1959.91,1959.92,881,12
2023.07.14 02:00:00,1959.92,1961.83,1959.87,1960.11,1740,12
2023.07.14 03:00:00,1960.25,1960.59,1958.38,1959.38,2670,12
2023.07.14 04:00:00,1959.39,1963.26,1958.45,1962.82,4914,12
2023.07.14 05:00:00,1962.83,1963.76,1961.53,1961.6,3768,12
2023.07.14 06:00:00,1961.56,1963.07,1961.05,1962.56,2926,12
2023.07.14 07:00:00,1962.53,1962.53,1960.33,1960.39,2411,12
2023.07.14 08:00:00,1960.39,1961.28,1957.93,1958.85,3476,12
2023.07.14 09:00:00,1958.86,1960.37,1955.67,1956.61,4741,12
2023.07.14 10:00:00,1956.58,1957.4,1954.32,1956.85,4457,12
2023.07.14 11:00:00,1956.84,1958.23,1955.65,1956.15,3946,12
2023.07.14 12:00:00,1956.16,1957.34,1955.28,1955.96,2841,12
2023.07.14 13:00:00,1955.93,1957.04,1955.18,1956.12,3211,12
2023.07.14 14:00:00,1956.16,1960.08,1956.16,1959.26,3475,12
