time,open,high,low,close,volume,spread
2023.08.01 01:00:00,15785.05,15788.3,15782.67,15785.8,359,140
2023.08.01 01:15:00,15785.67,15786.17,15776.17,15776.42,346,140
2023.08.01 01:30:00,15776.67,15777.17,15770.55,15773.05,318,140
2023.08.01 01:45:00,15772.8,15775.8,15769.17,15771.8,187,140
2023.08.01 02:00:00,15772.3,15773.3,15765.8,15766.42,254,140
2023.08.01 02:15:00,15766.42,15768.67,15763.17,15763.17,168,140
2023.08.01 02:30:00,15763.17,15771.8,15763.17,15767.92,255,140
2023.08.01 02:45:00,15767.92,15772.17,15767.42,15771.05,366,140
2023.08.01 03:00:00,15771.05,15777.17,15767.3,15774.42,632,140
2023.08.01 03:15:00,15774.42,15780.67,15772.92,15773.42,518,140
2023.08.01 03:30:00,15773.42,15773.67,15766.17,15768.17,464,140
2023.08.01 03:45:00,15768.42,15785.67,15768.42,15785.42,578,140
2023.08.01 04:00:00,15785.55,15785.55,15780.17,15782.92,504,140
2023.08.01 04:15:00,15782.67,15789.92,15781.92,15787.3,706,140
2023.08.01 04:30:00,15786.8,15790.17,15780.67,15786.55,843,140
2023.08.01 04:45:00,15786.55,15800.05,15783.05,15792.8,841,140
2023.08.01 05:00:00,15793.8,15794.92,15783.42,15785.55,668,140
2023.08.01 05:15:00,15785.55,15791.3,15783.92,15789.3,620,140
2023.08.01 05:30:00,15789.3,15790.8,15784.17,15784.42,506,140
2023.08.01 05:45:00,15784.42,15785.42,15780.05,15781.42,476,140
2023.08.01 06:00:00,15781.42,15784.55,15780.92,15782.8,414,140
2023.08.01 06:15:00,15782.92,15783.42,15775.75,15777.55,344,140
2023.08.01 06:30:00,15777.55,15778.8,15773.92,15777.42,452,140
2023.08.01 06:45:00,15777.42,15779.17,15776.17,15777.67,317,140
2023.08.01 07:00:00,15777.67,15780.67,15776.42,15776.92,288,140
2023.08.01 07:15:00,15776.92,15779.67,15776.3,15778.92,310,140
2023.08.01 07:30:00,15779.05,15785.17,15777.92,15779.05,503,140
2023.08.01 07:45:00,15779.17,15782.67,15778.17,15779.92,332,140
2023.08.01 08:00:00,15779.8,15781.42,15774.05,15775.42,435,140
2023.08.01 08:15:00,15775.42,15775.67,15771.25,15774.05,453,140
2023.08.01 08:30:00,15773.92,15775.92,15767.55,15768.17,413,140
2023.08.01 08:45:00,15768.17,15771.17,15767.67,15770.42,355,140
