time,open,high,low,close,volume,spread
2022.09.22 14:45:00,11601.06,11629.31,11583.56,11620.44,1608,100
2022.09.22 15:00:00,11620.56,11644.06,11601.56,11644.06,1645,100
2022.09.22 15:15:00,11644.06,11649.31,11616.56,11617.44,1532,75
2022.09.22 15:30:00,11617.69,11641.31,11584.81,11630.94,1840,100
2022.09.22 15:45:00,11631.19,11671.94,11627.31,11638.06,1759,50
2022.09.22 16:00:00,11637.69,11641.44,11607.06,11610.94,1766,75
2022.09.22 16:15:00,11610.81,11617.56,11553.31,11563.19,2018,100
2022.09.22 16:30:00,11561.94,11602.54,11505.16,11522.41,2454,80
2022.09.22 16:45:00,11521.16,11545.91,11492.91,11513.91,2431,80
2022.09.22 17:00:00,11513.16,11558.91,11487.41,11557.91,2439,80
2022.09.22 17:15:00,11558.41,11562.04,11492.54,11521.04,2392,80
2022.09.22 17:30:00,11520.16,11544.41,11493.66,11506.16,2388,80
2022.09.22 17:45:00,11506.16,11518.54,11457.66,11464.91,2301,0
2022.09.22 18:00:00,11464.91,11487.41,11455.91,11457.66,2154,80
2022.09.22 18:15:00,11458.79,11469.29,11431.16,11462.16,2147,80
2022.09.22 18:30:00,11461.91,11486.66,11456.41,11474.16,2187,68
2022.09.22 18:45:00,11473.91,11510.79,11469.54,11485.91,2126,80
2022.09.22 19:00:00,11485.16,11507.91,11462.91,11472.91,2198,55
2022.09.22 19:15:00,11474.41,11524.16,11461.66,11495.41,2136,80
2022.09.22 19:30:00,11495.66,11518.16,11481.66,11505.79,2173,80
2022.09.22 19:45:00,11506.41,11530.04,11493.66,11499.41,2120,80
2022.09.22 20:00:00,11499.54,11508.04,11466.41,11468.66,2032,68
2022.09.22 20:15:00,11467.41,11489.41,11457.29,11488.66,1903,55
2022.09.22 20:30:00,11488.66,11508.66,11484.66,11484.91,1991,80
2022.09.22 20:45:00,11484.41,11525.91,11479.16,11511.91,1973,80
2022.09.22 21:00:00,11511.41,11520.41,11468.91,11470.41,2024,68
2022.09.22 21:15:00,11470.16,11481.16,11442.41,11460.66,1957,55
2022.09.22 21:30:00,11460.41,11480.16,11452.16,11472.66,2064,42
2022.09.22 21:45:00,11472.54,11512.41,11449.91,11504.41,2163,80
2022.09.22 22:00:00,11504.16,11574.29,11504.16,11572.66,2175,0
2022.09.22 22:15:00,11572.41,11574.91,11514.16,11546.29,2249,30
2022.09.22 22:30:00,11547.16,11579.91,11542.04,11556.79,2293,18
2022.09.22 22:45:00,11556.54,11604.66,11482.41,11484.54,2325,80
2022.09.22 23:00:00,11484.41,11498.34,11473.71,11489.84,1441,43
2022.09.22 23:15:00,11489.21,11489.96,11474.96,11476.21,844,120
2022.09.22 23:30:00,11476.46,11480.46,11464.34,11479.59,792,120
2022.09.22 23:45:00,11479.59,11493.34,11479.59,11486.59,729,120
2022.09.23 01:00:00,11499.85,11502.6,11488.1,11496.47,610,120
2022.09.23 01:15:00,11496.47,11508.1,11494.6,11503.6,478,120
2022.09.23 01:30:00,11503.6,11506.35,11479.97,11482.1,469,120
2022.09.23 01:45:00,11482.6,11496.1,11480.22,11493.1,581,120
2022.09.23 02:00:00,11493.1,11504.6,11489.22,11496.35,547,120
2022.09.23 02:15:00,11496.6,11500.35,11492.85,11499.6,336,120
2022.09.23 02:30:00,11499.85,11507.72,11498.22,11503.85,485,120
2022.09.23 02:45:00,11504.35,11511.72,11499.22,11509.22,628,120
2022.09.23 03:00:00,11509.22,11521.97,11502.22,11505.72,952,120
2022.09.23 03:15:00,11505.85,11512.72,11502.22,11509.6,739,120
2022.09.23 03:30:00,11509.6,11519.1,11505.22,11511.1,606,120
2022.09.23 03:45:00,11511.35,11516.47,11503.35,11503.35,617,120
2022.09.23 04:00:00,11503.22,11506.72,11490.85,11501.22,925,120
2022.09.23 04:15:00,11501.35,11503.72,11488.85,11488.85,784,120
2022.09.23 04:30:00,11488.85,11495.6,11486.1,11493.85,975,107
2022.09.23 04:45:00,11493.85,11505.1,11491.72,11504.35,803,120
2022.09.23 05:00:00,11504.22,11504.85,11492.6,11492.6,709,33
2022.09.23 05:15:00,11492.47,11492.47,11469.72,11471.1,1072,120
2022.09.23 05:30:00,11471.1,11473.85,11449.72,11460.85,1069,120
2022.09.23 05:45:00,11460.97,11470.47,11460.85,11467.47,683,120
2022.09.23 06:00:00,11467.72,11475.72,11462.97,11473.35,728,120
