<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.03	21:00:00	1.11661	1.11675	1.11607	1.11668	1574	0	7
2020.01.03	22:00:00	1.11668	1.11668	1.11596	1.11610	724	0	7
2020.01.03	23:00:00	1.11610	1.11615	1.11517	1.11559	532	0	9
2020.01.06	00:00:00	1.11625	1.11660	1.11578	1.11591	322	0	14
2020.01.06	01:00:00	1.11591	1.11671	1.11584	1.11600	1191	0	7
2020.01.06	02:00:00	1.11598	1.11678	1.11597	1.11631	1072	0	7
2020.01.06	03:00:00	1.11632	1.11649	1.11608	1.11622	894	0	8
2020.01.06	04:00:00	1.11622	1.11665	1.11618	1.11648	551	0	8
2020.01.06	05:00:00	1.11649	1.11705	1.11648	1.11653	737	0	7
2020.01.06	06:00:00	1.11654	1.11657	1.11611	1.11638	524	0	9
2020.01.06	07:00:00	1.11639	1.11646	1.11601	1.11618	497	0	8
2020.01.06	08:00:00	1.11618	1.11619	1.11566	1.11603	787	0	8
2020.01.06	09:00:00	1.11599	1.11662	1.11592	1.11641	1542	0	8
2020.01.06	10:00:00	1.11645	1.11793	1.11628	1.11781	1850	0	7
2020.01.06	11:00:00	1.11782	1.11931	1.11747	1.11927	1928	0	5
2020.01.06	12:00:00	1.11927	1.11991	1.11894	1.11958	1581	0	6
2020.01.06	13:00:00	1.11958	1.12050	1.11957	1.12027	1672	0	7
2020.01.06	14:00:00	1.12028	1.12037	1.11946	1.11976	1200	0	8
2020.01.06	15:00:00	1.11978	1.12029	1.11906	1.11970	1515	0	7
2020.01.06	16:00:00	1.11972	1.11997	1.11819	1.11827	1649	0	7
2020.01.06	17:00:00	1.11827	1.11896	1.11816	1.11881	2191	0	8
2020.01.06	18:00:00	1.11883	1.11890	1.11806	1.11867	1561	0	7
2020.01.06	19:00:00	1.11866	1.11955	1.11836	1.11945	1127	0	8
2020.01.06	20:00:00	1.11947	1.11974	1.11911	1.11914	810	0	7
2020.01.06	21:00:00	1.11914	1.11923	1.11876	1.11906	841	0	7
2020.01.06	22:00:00	1.11908	1.11934	1.11884	1.11932	790	0	9
2020.01.06	23:00:00	1.11929	1.11985	1.11924	1.11964	350	0	5
2020.01.07	00:00:00	1.11928	1.11952	1.11927	1.11948	364	0	11
2020.01.07	01:00:00	1.11954	1.11969	1.11936	1.11949	488	0	10
2020.01.07	02:00:00	1.11949	1.11950	1.11886	1.11892	639	0	7
2020.01.07	03:00:00	1.11892	1.11966	1.11889	1.11929	672	0	9
2020.01.07	04:00:00	1.11926	1.11928	1.11905	1.11909	313	0	8
2020.01.07	05:00:00	1.11910	1.11938	1.11907	1.11917	456	0	8
2020.01.07	06:00:00	1.11916	1.11930	1.11901	1.11903	456	0	8
2020.01.07	07:00:00	1.11904	1.11920	1.11822	1.11824	529	0	8
2020.01.07	08:00:00	1.11826	1.11893	1.11803	1.11810	1599	0	6
2020.01.07	09:00:00	1.11811	1.11849	1.11724	1.11735	1903	0	7
2020.01.07	10:00:00	1.11739	1.11870	1.11722	1.11842	2182	0	8
2020.01.07	11:00:00	1.11842	1.11892	1.11800	1.11840	1716	0	7
2020.01.07	12:00:00	1.11840	1.11856	1.11644	1.11757	1987	0	8
2020.01.07	13:00:00	1.11755	1.11844	1.11715	1.11812	1594	0	8
2020.01.07	14:00:00	1.11813	1.11827	1.11705	1.11742	1534	0	6
2020.01.07	15:00:00	1.11742	1.11774	1.11542	1.11557	2361	0	7
2020.01.07	16:00:00	1.11555	1.11617	1.11460	1.11472	2315	0	4
2020.01.07	17:00:00	1.11467	1.11512	1.11337	1.11412	2892	0	7
2020.01.07	18:00:00	1.11411	1.11435	1.11331	1.11365	1557	0	6
2020.01.07	19:00:00	1.11365	1.11469	1.11363	1.11420	1389	0	4
2020.01.07	20:00:00	1.11421	1.11490	1.11409	1.11428	1011	0	8
2020.01.07	21:00:00	1.11430	1.11445	1.11412	1.11441	961	0	7
2020.01.07	22:00:00	1.11441	1.11472	1.11419	1.11432	738	0	6
2020.01.07	23:00:00	1.11434	1.11515	1.11432	1.11514	704	0	9
2020.01.08	00:00:00	1.11510	1.11519	1.11438	1.11472	727	0	0
2020.01.08	01:00:00	1.11472	1.11539	1.11459	1.11536	1257	0	8
2020.01.08	02:00:00	1.11534	1.11677	1.11521	1.11581	2871	0	5
2020.01.08	03:00:00	1.11581	1.11627	1.11543	1.11552	2216	0	6
2020.01.08	04:00:00	1.11552	1.11608	1.11526	1.11582	1996	0	5
2020.01.08	05:00:00	1.11581	1.11586	1.11530	1.11542	994	0	8
2020.01.08	06:00:00	1.11541	1.11552	1.11446	1.11472	842	0	7
2020.01.08	07:00:00	1.11473	1.11508	1.11468	1.11486	756	0	7
2020.01.08	08:00:00	1.11486	1.11535	1.11480	1.11494	973	0	8
2020.01.08	09:00:00	1.11495	1.11544	1.11427	1.11509	2535	0	0
2020.01.08	10:00:00	1.11510	1.11529	1.11295	1.11345	3136	0	1
2020.01.08	11:00:00	1.11345	1.11442	1.11246	1.11377	2039	0	4
2020.01.08	12:00:00	1.11378	1.11380	1.11248	1.11269	1942	0	7
2020.01.08	13:00:00	1.11267	1.11306	1.11196	1.11266	1843	0	5
2020.01.08	14:00:00	1.11266	1.11300	1.11132	1.11161	1896	0	3
2020.01.08	15:00:00	1.11162	1.11218	1.11106	1.11194	2299	0	7
2020.01.08	16:00:00	1.11195	1.11263	1.11170	1.11242	1775	0	7
2020.01.08	17:00:00	1.11238	1.11302	1.11147	1.11194	2156	0	5
2020.01.08	18:00:00	1.11193	1.11197	1.11084	1.11160	2954	0	7
2020.01.08	19:00:00	1.11160	1.11255	1.11127	1.11175	2007	0	7
2020.01.08	20:00:00	1.11174	1.11174	1.11100	1.11126	1194	0	6
2020.01.08	21:00:00	1.11127	1.11135	1.11076	1.11107	861	0	7
2020.01.08	22:00:00	1.11107	1.11143	1.11092	1.11114	1071	0	8
2020.01.08	23:00:00	1.11116	1.11122	1.11016	1.11038	543	0	9
2020.01.09	00:00:00	1.11046	1.11124	1.11027	1.11082	751	0	12
2020.01.09	01:00:00	1.11082	1.11125	1.11063	1.11124	292	0	11
2020.01.09	02:00:00	1.11125	1.11153	1.11087	1.11129	1034	0	8
2020.01.09	03:00:00	1.11129	1.11188	1.11105	1.11169	851	0	10
2020.01.09	04:00:00	1.11169	1.11185	1.11141	1.11147	545	0	7
2020.01.09	05:00:00	1.11148	1.11173	1.11136	1.11148	375	0	7
2020.01.09	06:00:00	1.11150	1.11153	1.11122	1.11149	377	0	8
2020.01.09	07:00:00	1.11150	1.11184	1.11146	1.11178	451	0	8
2020.01.09	08:00:00	1.11177	1.11185	1.11107	1.11118	865	0	9
2020.01.09	09:00:00	1.11120	1.11199	1.11106	1.11146	1666	0	8
2020.01.09	10:00:00	1.11148	1.11172	1.11046	1.11168	1791	0	8
2020.01.09	11:00:00	1.11167	1.11185	1.10979	1.10988	2396	0	2
2020.01.09	12:00:00	1.10988	1.11113	1.10961	1.11092	1460	0	8
2020.01.09	13:00:00	1.11092	1.11122	1.11029	1.11041	1170	0	9
2020.01.09	14:00:00	1.11042	1.11161	1.11028	1.11131	1665	0	7
2020.01.09	15:00:00	1.11130	1.11169	1.11052	1.11144	1879	0	7
2020.01.09	16:00:00	1.11144	1.11144	1.11034	1.11077	1518	0	7
2020.01.09	17:00:00	1.11076	1.11102	1.10925	1.11018	2131	0	5
2020.01.09	18:00:00	1.11016	1.11056	1.10934	1.11055	1722	0	7
2020.01.09	19:00:00	1.11050	1.11109	1.11034	1.11042	1059	0	7
2020.01.09	20:00:00	1.11042	1.11082	1.11029	1.11045	1180	0	7
2020.01.09	21:00:00	1.11046	1.11093	1.11045	1.11055	655	0	7
2020.01.09	22:00:00	1.11055	1.11068	1.11035	1.11057	666	0	8
2020.01.09	23:00:00	1.11058	1.11065	1.11029	1.11059	391	0	9
2020.01.10	00:00:00	1.11040	1.11063	1.10998	1.11062	370	0	8
2020.01.10	01:00:00	1.11062	1.11089	1.11058	1.11088	322	0	8
2020.01.10	02:00:00	1.11087	1.11089	1.11056	1.11065	621	0	7
2020.01.10	03:00:00	1.11064	1.11068	1.11017	1.11037	578	0	8
2020.01.10	04:00:00	1.11039	1.11078	1.11030	1.11075	508	0	9
2020.01.10	05:00:00	1.11075	1.11082	1.11066	1.11076	307	0	8
2020.01.10	06:00:00	1.11077	1.11106	1.11059	1.11069	398	0	7
2020.01.10	07:00:00	1.11070	1.11094	1.11066	1.11085	433	0	8
2020.01.10	08:00:00	1.11084	1.11095	1.11062	1.11087	499	0	8
2020.01.10	09:00:00	1.11088	1.11105	1.11038	1.11065	948	0	8
2020.01.10	10:00:00	1.11066	1.11087	1.10928	1.10989	1617	0	6
2020.01.10	11:00:00	1.10989	1.10994	1.10907	1.10959	1504	0	1
2020.01.10	12:00:00	1.10959	1.10979	1.10896	1.10923	1241	0	7
2020.01.10	13:00:00	1.10920	1.10957	1.10846	1.10926	1245	0	8
2020.01.10	14:00:00	1.10924	1.10987	1.10912	1.10979	927	0	9
2020.01.10	15:00:00	1.10978	1.11132	1.10893	1.10961	3629	0	5
2020.01.10	16:00:00	1.10961	1.11030	1.10856	1.11003	2769	0	6
2020.01.10	17:00:00	1.10999	1.11173	1.10978	1.11123	2596	0	6
2020.01.10	18:00:00	1.11124	1.11201	1.11106	1.11175	1669	0	8
2020.01.10	19:00:00	1.11175	1.11287	1.11175	1.11219	1369	0	7
2020.01.10	20:00:00	1.11218	1.11227	1.11179	1.11180	656	0	8
2020.01.10	21:00:00	1.11180	1.11227	1.11166	1.11216	690	0	8
2020.01.10	22:00:00	1.11217	1.11217	1.11191	1.11206	646	0	8
2020.01.10	23:00:00	1.11206	1.11219	1.11160	1.11160	354	0	8
2020.01.13	00:00:00	1.11150	1.11201	1.11117	1.11159	429	0	11
2020.01.13	01:00:00	1.11161	1.11177	1.11132	1.11156	367	0	6
2020.01.13	02:00:00	1.11156	1.11183	1.11154	1.11183	340	0	7
2020.01.13	03:00:00	1.11182	1.11209	1.11167	1.11207	440	0	7
2020.01.13	04:00:00	1.11208	1.11257	1.11195	1.11253	340	0	8
2020.01.13	05:00:00	1.11253	1.11292	1.11247	1.11288	472	0	7
2020.01.13	06:00:00	1.11289	1.11300	1.11266	1.11268	333	0	8
2020.01.13	07:00:00	1.11268	1.11314	1.11265	1.11292	403	0	7
2020.01.13	08:00:00	1.11291	1.11297	1.11244	1.11283	550	0	7
2020.01.13	09:00:00	1.11282	1.11295	1.11214	1.11221	1262	0	8
2020.01.13	10:00:00	1.11221	1.11291	1.11196	1.11275	1556	0	8
2020.01.13	11:00:00	1.11274	1.11356	1.11141	1.11145	2131	0	6
2020.01.13	12:00:00	1.11145	1.11190	1.11120	1.11162	1221	0	8
2020.01.13	13:00:00	1.11162	1.11237	1.11159	1.11199	1090	0	7
2020.01.13	14:00:00	1.11201	1.11257	1.11178	1.11241	1212	0	8
2020.01.13	15:00:00	1.11240	1.11279	1.11177	1.11182	1513	0	6
2020.01.13	16:00:00	1.11182	1.11262	1.11171	1.11235	1652	0	8
2020.01.13	17:00:00	1.11235	1.11376	1.11205	1.11326	1883	0	7
2020.01.13	18:00:00	1.11325	1.11463	1.11321	1.11367	1649	0	5
2020.01.13	19:00:00	1.11367	1.11414	1.11350	1.11392	956	0	8
2020.01.13	20:00:00	1.11396	1.11442	1.11380	1.11390	774	0	7
2020.01.13	21:00:00	1.11391	1.11409	1.11371	1.11377	631	0	7
2020.01.13	22:00:00	1.11376	1.11381	1.11356	1.11371	563	0	7
2020.01.13	23:00:00	1.11372	1.11375	1.11326	1.11336	345	0	7
2020.01.14	00:00:00	1.11331	1.11389	1.11290	1.11348	526	0	10
2020.01.14	01:00:00	1.11348	1.11361	1.11330	1.11339	323	0	9
2020.01.14	02:00:00	1.11339	1.11416	1.11335	1.11379	660	0	9
2020.01.14	03:00:00	1.11379	1.11404	1.11307	1.11367	1085	0	7
2020.01.14	04:00:00	1.11366	1.11381	1.11349	1.11368	577	0	7
2020.01.14	05:00:00	1.11369	1.11383	1.11347	1.11351	465	0	8
2020.01.14	06:00:00	1.11351	1.11376	1.11351	1.11360	399	0	9
2020.01.14	07:00:00	1.11361	1.11379	1.11354	1.11364	397	0	10
2020.01.14	08:00:00	1.11364	1.11439	1.11343	1.11439	853	0	7
